Name,Age,Course,City,Marks
Alice,20,Python,Mumbai,85
Bob,21,Java,Delhi,72
Charlie,19,Python,Bangalore,91
David,22,C++,Chennai,68
Eva,20,Python,Pune,95
Frank,23,Java,Hyderabad,78
Grace,21,SQL,Mumbai,88
Henry,20,Python,Delhi,64
Isha,19,SQL,Pune,82
Jack,22,Java,Bangalore,75
Kiran,21,Python,Chennai,93
Liam,20,C++,Mumbai,70
Meera,22,SQL,Delhi,89
Noah,19,Python,Hyderabad,96
Olivia,21,Java,Pune,81
Paul,23,C++,Bangalore,67
Riya,20,Python,Mumbai,90
Sam,22,SQL,Chennai,76
Tina,19,Java,Delhi,84
Vikram,21,Python,Pune,92
